deceptive,hotel,polarity,source,text
truthful,sheraton,positive,TripAdvisor,"The sheraton was a wonderful hotel! When me and my mom flew in we were really tired so we decided to take a quick nap. We didnt want to get up! The beds are absolutely to die for. I wanted to take it home with me. The service was great and this was probably one of the biggest if not the biggest hotel ive ever stayed in. They had a really nice restaurant inside with excellent food. 
"
truthful,sheraton,positive,TripAdvisor,"We always stay at the Sheraton Chicago Hotel & Towers when we take our kids to the city. You can't beat the location which is in walking distance of Navy Pier and Michigan Ave. The hotel is also just a couple of blocks from the fabulous Fox & Obel, a high end grocery store with many prepared items available to go and a great cafe that serves a stellar breakfast. The hotel staff are professional and courteous and the rooms are more than adequate with very comfy beds. My kids enjoy the pool with it's windows that overlook the Chicago river. 
"
truthful,sheraton,positive,TripAdvisor,"This is a great hotel! The views are fabulous, the service it friendly and the location is superb. We booked a room on an upper floor and had access to the lounge where breakfast and snacks were available with picture perfect views of the Chicago River. The only negative is that the ceilings in the hall and room are low and can make you feel a little cramped. We booked our room for $89 a night for Memorial Day weekend. It was a steal! I highly recommend this hotel to anyone and will be returning! 
"
truthful,sheraton,positive,TripAdvisor,"I have been 4 times in Chicago, and I have stayed in 4 different Hotels: This has been for much the very best option. The lobby, the warm of the receptionist, the room, the hotel is very good. It is walking distance to the Magnificent Mile and there's no chance for you to get lost from this hotel. If you like to travel with style this could be a very good option. 
"
truthful,sheraton,positive,TripAdvisor,"We stayed at the Sheraton by Navy Pier the first weekend of November and were very pleased with the accommodations and the service. We were upgraded to club level rooms and stayed in 3114 and 3115 adjoining. The view from both rooms was spectacular (as you can tell from the picture attached). They also left a plate of cookies and treats in the kids room upon check-in which made us all feel very special. The hotel is central to both Navy Pier and Michigan Ave. so we walked, trolleyed, and cabbed all around the area. We ate the breakfast buffet both mornings and thought it was pretty good. The eggs were a little runny, but they happily made a different batch for us at the omelet station. Our six year old ate free and our two eleven year olds were $14 (instead of the adult $20) The rooms were clean, the concierge & reception staff were both friendly and helpful...we will definitely visit this Sheraton again when we're in Chicago next time. 
"
truthful,sheraton,positive,TripAdvisor,"i stayed at this hotel for a week with my family this hotel is huge so clean has comfy beds foods great staff couldn,t of being any nicer. stayed here for thanksgiving it was fabulous second time in chicago and still want to go back again ... the hotel is within walkin distance to both state street and michicgan avenue.There,s taxis right outside the hotel and the concierge can also ring for mini buses if your travelling with a big crowd.there,s also a cinema 2 mins away opposite the hotel . Perfect Hotel for a great get away ... 
"
truthful,sheraton,positive,TripAdvisor,"I stayed here for about a week during a conference and the service was excellent. In addition to the excellent service the location was great. With quick access to Michigan Ave.. The bars and Shula's restaurant were excellent. You must have the rib-eye steak...very well done. 
"
truthful,sheraton,positive,TripAdvisor,"The Sheraton is a fantastic hotel. My wife and I stayed on the 29th floor overlooking the Chicago River and Lake Michigan. The view was great. We got a corner room that also had a couch in. The hotel was just a short walk to the Navy Pier and the Magnificant Mile Shopping area. Food at the hotel was great. Service from checking in to maid service was first class. Great Hotel, Great Town, Highly recommend it. 
"
truthful,sheraton,positive,TripAdvisor,"We stayed at this hotel for 4 nights in August. We waited a while to check in even though there were quite a few desks open, this was a little annoying as the receptionists seemed to work in two's. Our room had a great view of Navy Pier and was a good size. The bed was very comfortable and the room was spotlessly clean. The location of the hotel is the best, we walked to Navy Pier and Michigan Ave. The breakfast buffet was great although a little pricey and the bar very relaxing for a nightcap or two. Would certainly recommend this hotel and would stay here again. 
"
truthful,sheraton,positive,TripAdvisor,"My husband and I stayed at the Sheraton Chicago Hotel & Towers in February. Everything about the hotel and experience was superb. The location was wonderful as well. Our room overlooked the river and we had a great view of the lake towards Navy Pier. The best part of the stay was the 'sweet sleeper' bed. It was so comfortable. The staff was friendly and helpful as well. Nothing bad to say about this Sheraton! I will stay here again! 
"
