deceptive,hotel,polarity,source,text
truthful,hyatt,positive,TripAdvisor,"Triple A rate with upgrade to view room was less than $200 which also included breakfast vouchers. Had a great view of river, lake, Wrigley Bldg. & Tribune Bldg. Most major restaurants, Shopping, Sightseeing attractions within walking distance. Large room with a very comfortable bed. 
"
truthful,hyatt,positive,TripAdvisor,"This comes a little late as I'm finally catching up on my reviews from the past several months:) A dear friend and I stayed at the Hyatt Regency in late October 2007 for one night while visiting a friend and her husband from out of town. This hotel is perfect, IMO. Easy check in and check out. Lovely, clean, comfortable rooms with great views of the city. I know this area pretty well and it's very convenient to many downtown Chicago attractions. We had dinner and went clubing with our friends around Division St.. We had no problems getting cabs back and forth to the Hyatt and there's even public transportation right near by but we didn't bother since we only needed cabs from and to the hotel. Parking, as is usual for Chicago, was expensive but we were able to get our car out quickly (however, we left on a Sunday morning, not exactly a high traffic time although it was a Bears homegame day, so a bit busier than usual I would think). No problems at all and the best part is that we got a rate of $100 through Hotwire, a downright steal for this area of Chicago and the quality of the hotel. 
"
truthful,hyatt,positive,TripAdvisor,"I asked for a high floor away from the elevator and that is what I got. The room was pleasantly decorated, functional and very clean. I didn't need a whole lot of service but when I did they were pleasant and prompt. I used the fitness center which was well equipped and everything was in working order. It is in a great location at one end of the Michigan Avenue shopping district. 
"
truthful,hyatt,positive,TripAdvisor,"On our visit to Chicago, we chose the Hyatt due to its location in downtown, within walking distance to most major attractions, such as Sears Tower, Magnificent Mile, Grant/Millenium Parks, etc. Subway & bus stops very close by to travel to other locations in the city . Overall the hotel was very nice, clean, and at a great location. Was in a safe area. Went to beautiful Wrigley Field and Soldier Field and saw both teams play. I love Chicago and would defenitely stay here again! 
"
truthful,hyatt,positive,TripAdvisor,"We arrived at 10:30 am on a Friday, and they had a room ready for us by 11:30 am, mind you check in is not until 3:00pm. We got our room on Priceline for $65.00 per night and stayed 3 nights. We were upgraded - for free - to a suite. I think I was so blown away by that, that I forgot to thank them at check-in! Our room was fantastic. It also had a wet bar and a fridge. The bathroom was quite large and had a nice sized closet with many hangers. I knew from previous reviews to not touch the mini-bar. The bed and pillows were very comfortable. The room was very clean. Every employee there went out of their way to be friendly and helpful. We stayed on the 25th floor of the east tower and had a quiet room. Yes, you could hear people in the hallways, but only because they were rude and were yelling. These were not children, they were adults. I don't know why everyone complains about $48 for parking. This is Chicago and every other hotel we saw charged just as much, some without in/out privledges. We didn't use any of the restaurants or the health club. We tried to eat at the Corner Bakery but it was too crowded. Breakfast at nearby Houlihan's had a buffet for $9.99 per person. Also the grocery store behind the hotel is great. There is a 7-11 not too far away. I don't know why there are so many bad reviews on this hotel. Yes, it's a big hotel. If you don't want a busy lobby, don't stay in a 2,000 plus room hotel!! I loved the Hotel and would recommend it to anyone. Not one problem. Wasn't too busy for me. Would stay here again in a heartbeat. 
"
truthful,hyatt,positive,TripAdvisor,"I got a Sunday night stay for only $50 off of Priceline.com, so it would be hard to complain...but this was truly a great hotel, even if I paid double. The first impression you get when you walk through the sliding doors of the Hyatt Regency Chicago is WOW. The lobby is beautiful with a upscale mall type of look to it with an open area that has a restaurant, plenty of couches,seats etc to people watch and a lake with water fountains. You take the escalator to the concierge/directory/check in area. The hotel let me check in at 12pm (I had a 3pm check in time). I suggest you call ahead like I did so they know you are coming early.The women at the desk was friendly and when I requested a higher level floor she was more than happy to look it up and even told me 'I have a room on the 18th floor with a veiw of the river or you can go higher with no view'. I thought it was pretty nice to give me that information so that I wouldnt get stuck with a room with a view of a wall. The rooms are big (I had a doubles room) The beds were beautiful with great pillows,blankets,headboards etc. An Ipod alarm clock was a nice 21st century touch to the room. Great to plug in your ipod, listen to some music and get ready for a night out or when relaxing after a long day of touring Chicago. The view was very nice and the bathroom was spotless and had great toiletries. Another great feature is the concierge area's computers that gives you access to printing your boarding pass before you get to the airport. You simply look at the screen, click on your airline icon and following the instructions. I had my boarding passes in about a minute. Came in handy when I got to OHare and was able to skip a long line of frustrated passengers. I was only in the hotel for 1 day, but it was by far one of the better hotel experiences I have had and I travel alot. It is a business hotel, but definitely a great choice for families and couples. Definitely would stay here again when Im passing through Chicago. 
"
truthful,hyatt,positive,TripAdvisor,"Named my price on priceline. $50.00 Bucks. Hotel room was great. Clean, Clean and new. Fresh crisp sheets, comfortable bed, flat screen TV, clean carpet, nice bath, etc. Short distance to food and sightseeing. I highly recommend this property. Be prepared to pay over $40.00 per night to park. Hey, Its a hyatt. They also charge $5.00 for a bottle of water that is normally a buck. For a total of $100.00 nightly stay in Chicago this place is it just don't drink the bottled water. Happy Travels 
"
truthful,hyatt,positive,TripAdvisor,"Check-in was fast, the room was perfect, and there were no problems. This is a standard big-city business hotel with every amenity imaginable. I got a very good deal for a one-night stay, but they made the money back from the exorbitant parking rate and the absurd access fee for wireless internet. If you are bored of the routine hotel fare, walk two blocks to Gourmet Pantry (155 N. Michigan) for a refreshing change. 
"
truthful,hyatt,positive,TripAdvisor,"I booked a room at the Hyatt through Priceline and was able to get a rate of $45/night! Can't go wrong with that! The rooms are nice, spacious, clean and contain all the amenties a traveler would need. I have to say that I have fallen in love with the Hyatt chain due to their customer service. I have stayed at a few of their hotels in different cities and the staff has always been extremely friendly, which you don't often see at other hotels. I used the self-check in machine, and the customer service person checked in on me to make sure everything was going smoothly. Then, when she saw that my room was not on a high level, she offered to have it changed for me so that I could have a better view. I would highly recommend this hotel! 
"
truthful,hyatt,positive,TripAdvisor,"Stayed in a Junior Suite which was beautiful and spacious. It had the largest flat screen tv I have ever seen in a hotel (great excuse to catch up on some movies) The breakfast buffet was great and was served in the hotels huge atrium which was nice. The service was top notch. Stayed in a lower floor in the East tower which was great as there was no waits for an elevator and they were always empty. The Shed aquarium was a complete waste of time and money but the Field musium was amazing. Chicago remains tied with London as my favourite city. 
"
truthful,hyatt,positive,TripAdvisor,"Great hotel in a wonderful location. I stayed in this hotel last weekend for one night before coming home and I loved it. I couldn't recommend it highly enough. Evidently popular and busy, the staff were still helpful. The rooms were lovely and spacious and clean. Bathrooms were clean, bright and spacious also. I'd definitely recommend this hotel too, it's close to the magnificant mile. 
"
truthful,hyatt,positive,TripAdvisor,"We paid $75 a night through Priceline, which is excellent for June. Our room had a fantastic view of the Hancock Building and the river. The room was large, clean and had a couch, easy chair and desk chair. The bedding was the newer 'non-bedspread' style, the bed was comfortable, the bathroom was large and, well, we were pleased with the room and the Hyatt in every way. We ate at the lobby restaurant, which is attractively decorated and was bustling with activity when we were there. We only got Cobb Salads, so I don't know if the food, in general, is good or not. The Cobb was so-so. Our only complaint was the $48 fee to park your car over-night and the $13 daily fee for the internet. Many places are offering free internet these days and I wish the Hyatt would hop on board with this concept. We hated to leave! 
"
truthful,hyatt,positive,TripAdvisor,"We booked our room on Priceline, and got a good deal at around $100 per night. We stayed for the first 2 nights of our US trip so didnt use too many of the hotel's facilities The hotel is centrally located, just over the Chicago River from the shops at North Michigan Avenue, and around a mile from Navy Pier Our room was clean and comfortable, and on the 29th floor we had a good view of the city, and could just about see Lake Michigan (though the weather was very bad). The layout of the room is a little peculiar, with the bed facing away from the window, but over all we have no complaints about this hotel, and unlike some other reviews we were not disturbed at all by noise from other guests So, pros and cons: Pros: Helpful and friendly staff Clean and comfortable throughout Spacious rooms Large and airy public areas Starbucks and gift shop in lobby Cons A large hotel, so a long walk from the elevators to the front desk / lobby area 
"
truthful,hyatt,positive,TripAdvisor,"Staff were friendly, room was well kept like a typical Hyatt location. Hotel is huge, with two buildings and over 2000 rooms. Good location, close to Michigan Ave and the subway. Parking is $48/day. Ouch! I bid on it on Priceline for $59. 
"
truthful,hyatt,positive,TripAdvisor,"I stayed here for business and loved it. Got it for $93 inc tax on Priceline, an incredible deal for this hotel. If I wasn't on priceline I would expect to pay $200 per night (maybe more) for this location/level of service. It's in the heart of downtown Chicago, walkable to many locations. The lobby is very impressive, the room was very nice. No complaints at all, from check-in to check-out. I was alone so didn't go to the bar but it looked like people were really enjoying themselves. It was full of people all the time. I want to stay here when I come back with my husband for a fun weekend in the city. 
"
truthful,hyatt,positive,TripAdvisor,"Stayed here for 3 nights for a Bridgestone/Firestone convention. No complaints. Room was great with a beautiful view. Staff was very accommodating. Had drinks and appetizers in main bar. Fantastic! Great location. Yes it's a huge hotel as it's used for conventions but that didn't stop it from being a great place. 
"
truthful,hyatt,positive,TripAdvisor,"My friend and I stayed for just one night, and loved the hotel. It had an awesome water feature in the hotel, and great large bar. Like all Hyatts it had a very comfortable bed, lot's of pillows, and large bathroom. 
"
truthful,hyatt,positive,TripAdvisor,"My wife and I stayed at this hotel at the end of May, 2009. She came for the weekend for a function and we extended the trip to take in the city. We got a deal on this hotel through TravelZoos. $249/night stay for $99/night plus we got the full buffet breakfast. The room was wonderful. Extremely large King size bed with expansive sitting area. We are used to smaller hotels with little room to move. The bed was extremely comfortable with lots of pillows. No wear or damage in room at all except sink tap dripped a bit (poor taps). We could have upgraded to river view for $20/night but chose not to. We enjoyed the room for what it was. 22nd floor looking south. The buffet breakfast was great. Lots to choose from and very fresh with made to order eggs, non stop coffee and juice and the servers were so eager to please. Great to have breakfast included in night stay. Might be a bit dear to pay at $22/person. It was nice to sit and relax with good breakfast, coffee and newspaper and not have to figure where to catch a morning meal. Concierge desk was most helpful in suggesting places to eat, always informative and ready to provide maps, directions, multiple suggestions and even make the reservations. Cards included to admit without paying cover charges at some jazz clubs. Location was great. Blocks from El and other transportation and easy walking distance to the parks and right on the river. If in Chicago again, would not hesitate to stay here again. A swimming pool would have been nice but we did not miss it. 
"
truthful,hyatt,positive,TripAdvisor,"Booked this on priceline for an insanely low price of $65 a night. The BF and I were amazed when we got there--the person checking us in was friendly and helpful to suggest some local nightspots and the room was gorgeous! A nice upscale, downtown feel and super comfy beds. We had a fabulous view from the 25th floor that inlcluded a sliver of Lake Michigan, a sliver of the Taste of Chicago crowds, and some friendly office workers in the builiding next door who waved to us a few times. Seriously. We had a pretty anonymous experience the rest of our stay--which was fine with us. The hotel consists mainly of 2 towers and is like a huge, sprawling city inside. But we weren't there to stay in the hotel room the entire time...we like to get out and explore as much as possible. The location was fantastic. Easy walking distance to Michigan Avenue and the rest of downtown. We walked for blocks well into the night and never felt like we needed a cab. I also highly recommend the Urban Cruise on the river (the entrance is right across from the hotel)--we saw some amazing architecture from the boat and got to cruise Lake Michigan a bit too. Don't park your car here if you don't need to--it's very expensive. Park downtown or ditch the rental car--you won't need it anyway, you can walk to tons of stuff or grab a cab. Love Chicago and totally recommend this hotel! 
"
truthful,hyatt,positive,TripAdvisor,"I stayed at the Hyatt for a two nights on a business trip. My room was oddly shaped to give a stunning view of the river and NBC Building. Both the room and the bathroom were spotless and the room had an air purifier which ran silently. The hotel was well staffed with individuals who were knowledgeable about both the hotel and the surrounding area. I would not hesitate to stay here again and plan to return with my wife for a weekend. 
"
deceptive,hyatt,positive,MTurk,"Quite simply the Hyatt Regency Chicago is the business traveler's best friend. Recently I had to attend a seminar in Chicago and stayed at the Hyatt. To say I was impressed would be an understatement. Centrally located in the heart of downtown, the Hyatt has perfected the art of ultimate guest satisfaction. On arrival the staff goes into overdrive. They make you feel like you are the only guest in this huge hotel. The rooms are very big and elegantly furnished with 100 percent cotton linens. My room came equipped with flat screen tv, wi-fi and high speed internet. Room service was quite extensive and if it was not on the menu they went out of their way to accomodate you. There were also car rental on site as were restaurants, cocktail bar and a 24 hour dining room. They have state of the art conference rooms with high tech features. There is also catering and limo service. The staff is multilingual and the concierge service is very professional. All in all they will pamper you from head to toe and other parts in between. This hotel is definitely worth the price and I will definitely return not as a business traveler but as a tourist who wants to be pampered. My only regret? That I could not stay much longer. 
"
deceptive,hyatt,positive,MTurk,"My girlfriends and I stayed at the Hyatt in Chicago during a shopping trip to the city in June 2010. We found a great deal on Orbitz.com and decided to give it a try. The location was perfect, just off Michigan Avenue,on the Chicago River, so it was easy to walk down the Mag Mile and get to all of the shops without having to pay for cabs or rent a car. The hotel is right next the The Palm restaurant, and within walking distance of several places to eat, both fancy (China Grill, yum!)and affordable (Corner Bakery). The rooms have been recently remodeled and were clean and spacious. We were lucky to get a room with a good view...be sure to ask that you do not have a view of the office building next door! The lobby is typical Hyatt, big and spacious with lots of plants. Service was good. All around an excellent experience and a great deal.
"
deceptive,hyatt,positive,MTurk,"Recently, I traveled to Chicago for a business conference and was lucky enough to stay at the Hyatt Regency Chicago. The whole experience was wonderful! The room was spacious and beautiful, and the bed was so comfortable that I had no problem falling asleep, as I normally do at other hotels. The staff were polite and courteous, and after a delicious breakfast in the restaurant, I went to my conference with a smile on my face.
"
deceptive,hyatt,positive,MTurk,"My husband and I stayed at the Hyatt Regency while attending a family wedding in Chicago. From the moment we entered the beautiful lobby we were treated as if we were returning friends. Our rooms were ready upon arrival, and they were just as impressive as when I viewed them online. The location couldn't be more convenient to access all of Chicago's shopping and dining areas. We dined in Seston's Chop House, which I highly recommend. The staff at the hotel are professionals who work to make your stay there a grand experience. The Hyatt Regency Chicago is the only place we will stay when we return to the Windy City!
"
